text,total,monthValue
australia,1035,3-2-9-5-12-16-5-3-11-8-12-14-29-36-31-31-35-13-39-41-13-14-7-4-19-11-10-6-8-6-9-10-9-11-24-13-14-8-11-12-15-7-8-14-3-5-8-4-6-13-12-10-14-3-5-4-9-5-4--4-6-5-3-4-5-2-8-9-7-8-4-2-6-3-2-2-7-8-2-1-2-3-2-1-3-2-2-13-7-8-12-9-11-24-1-2-15-4-9-5-6-5-4-3-3-6-5-4-5-4-1-3-3-4-7-2-5-3--2-2---2
iraq,772,4-5-14-13-19-27-18-16-22-16-13-20-15-16-21-17-19-22-17-15-7-15-11-7-17-17-14-8-15-10-22-11-9-6-7-22-15-10-14-18-17-6-3-4-6-7-5-9-2-3-3-2-2-5--4-5-4-5-3-8-7-13-3-4-3-5-3-3-2-3-1-3-1--2-1-2--3--1----3-1-2---2---2-1-1-----------2------2---1-1-4-3
united kingdom,758,2-1-5-1-7-8-13-3-19-4-10-6-4-1-5-8-10-7-5-6-5-6-1-2-6-3-9-3-14-4-16-13-15-8-6-6-9-9-5-9-17-9-14-11-6-8-7-12-8-11-13-12-6-9-6-17-8-5-14-5-19-8-19-9-10-8-15-10-4-3-11-4-3-2-4-4-14-7-8-6-3-7--2--5-4-4-3-2-3-3-5-1-2-4-4-3-2-7-6-3-2-2--4-3-3-4-4-1-1-5-2-2-3-1-3-2-1----1-1
china,681,6-5-13-7-19-21-8-1-5-2-10-7-10-8-14-13-5-7-9-10-8-8-8-11-8-2-3-6-2-3-6-10-4-6-11-18-14-19-11-9-10-16-10-13-9-12-6-7-3-9-10-7-3-7-5-5-3-6-4-6-9-7-11-4-3-5-5-6-5-5-1-3-2-4-1--4-6-1-5-3-2--1--2-6-2-5-3-3-5-6-5-13-3-1--2---1-1--1-1-3-1-4-2-2-2-2-1--6-1-1-3-1-----1
canada,653,2-2-9-2-7-12-3-11-11-12-5-3-3-6-8-10-8-2-4-4-9-18-20-21-26-12-17-15-12-11-18-16-7-7-12-13-15-9-9-9-9-9-7-8-10-6-10-5-2-5-8-3-17-10-3-4-4-3-2-1-1-4-4-4-2-3-5-2-3--3--2--1-2-2-2--1-1---1--1--2-1-1-2-3-1-4-16-1--4-4-6--2--2-1-4-3-3-3-2-1--8-1-2-5-1
uk,617,3-1-4-5-5-14-10-11-13-10-10-8-6-9-6-7-7-9-5-8-7-9-3-4-10-4-4-2-4-5-11-4-11-6-7-3-4-4-5-5-9-5-11-7-6-1-5-13-6-8-6-10-7-5-7-5-6-6-9-7-8-9-20-6-8-7-9-1-4-6-6-5-3-3-4-3-14-4-2-3-2-5--2-2-1-3-5-3-1-3-3-4---1-1-4-1-1-3-4--1--5-4-3-1-2-1-3-3-2-3-1-1-3-2-1--1-1-2-1
france,611,2-3-4-6-10-9-11-9-12-8-3-8-8-6-12-8-12-3-5-20-9-11-5-10-9-3-8-4-6-8-8-4-8-2-8-6-12-6-4-5-9-8-8-8-11-6-5-3-4-4-9-6-8-5-9-12-4-4-3-7-14-4-12-6-5-1-6-3-4-6-3-1-1-1-2-1-7-9-6-3-2-3----2-2-2-2-4-1-2-1-3-8--1--1-10-3-2--2-5-1-2-3-2-2--2-3---3-1-2----3-4-2-2
london,609,-581
russia,533,2--1-2-12-9-12-3-6-5-1-6-2-7-10-7-7-4-6-8-8-5-4-12-3-8-4-6-6-5-9-12-4-7-9-7-6-4-6-8-5-9-8-4-5-19-9-3-4-5-2-8-5-5-10-4-1-3-4-4-8-4-4-2-2-8-8-3-4-2--1-2-4-1-1-5-2-2-4-2-4----2-2-4-2-3-6-8-1-3-5-1-1-2--9-3-1---1-6-4-3-3--1-1-14-1--4-2-1-3----1-1-1
europe,522,4-1-7-2-6-12-19-8-9-4-2-4-7-6-12-7-7-7-7-6-4-3-7-2-6-7-2-1-11-4-11-10-4-1-4-5-10-11-9-11-11-7-3-7-8-8-5-4-5-5-7-7-12-2-9-6-4-2-5-4-10-6-5-7-5-10-12-3-4-3-2-1-2-4-2-1-2-4-2-2-2-1--1-3-3-2-3-4-1-1-3-2--2---4-1--2----1-1-1-1--1-1-1-1--1--2-2-1--1-1-1-2
germany,521,3-4-7-2-8-5-8-2-8-7-11-7-6-6-12-9-6-4-5-33-8-7-12-6-7-2-4-3-6-2-3-8-8-3-10-6-11-8-4-7-10-6-6-5-6-2-5-2-4-4-7-4-9-1-6-3-1-3-3-4-9-6-8-2-5-5-3-5-4-4-3-1-1-2---2-2-1-2-3-2---1--3-3-3-3-2-6-7-5-7-1-1--2-3-2-1---2-1-3-3-3-1-1--4-2--7--2----1-1-1
england,491,1-1-3-2-2-6-5-4-14-5-2-2-4-2-6-9-1-3-7-20-6-4-2-2-9-5-2-2-4-2-6-5-9-6-6-3-7-9--4-7-2-8-3-6-2--1-2-4-4-6-4-1-1-5-3-7-11-7-7-6-7-8-6-3-4-4-5-2-8-2-5-7-2-1-11-5-2-2--8--1-1-1-1-2--2-3-3-1-24-35-1-1--3-2-2-1-----2-6-1--1-3-1-1-1-4-1------1--4
afghanistan,481,-431
israel,474,4-2-9-8-8-7-7-3-6-6-3-4--6-10-10-5-6-7-6-31-24-7-2-9-5-2-4-3-4-6-5--3-8-5-4-4-20-4-8-7-4-3-6-4-2--3-6-19-7-2-5-5-3-3-1-3-6-7-3-4-2-3-4-6-10-3-1-1--1--1--2-2-3--1-1--1--3-1-2-1-2-1--2-1-1-3-5--1---1---2--1-1-1-1-2-3-1---1-8-3--2--2-1-1
washington,470,1-4-2-1-13-3-11-5-5-4-9-1-5-6-13-6-7-8-10-2-5-5-3-4-4-8-7-6-3-2-6-10-12-3-7-7-7-5-14-17-10-8-3-5-4-2-10-5-4-6-11-1-5-4-2-5-2-1-5-6-9-5-8-3-2-6-5-3-4-3-3-2-3-4-1-1--3-5-4-1-2---1-4-4--3-4-2-2-1-1--2-1-1-1-2-1-2-1-1---2-1-----2-1-1---1--1
new york,463,-441
japan,456,5-2-4-2-11-10-4-5-10-8-6-7-3-6-13-2-6-1-5-13-4-2-5-6-4-2-4-1-4-4-3-12-2-2-10-7-10-9-7-7-6-6-4-10-7-2-6-5-7-5-2-8-7-2-3-6-3-5-4-2-1-3-4-4-2-3-1-4-1-5-4-2--2--1-12-5-1-3-4-3--2---3--6-2-2--5-2-6--1-1-1-2-3---1-2--3-4--2-1-2---1-5-2--2----1--1
iran,451,1--1-5-4-5-3-8-3-5-2-7-4-7-12-14-1-12-7-13-13-10-9-4-5-8-9-5-14-13-17-10-2-1-7-17-7-6-13-1-8-3-3-4-4-2-4-1-3-2-2-2-1-3-6-12-6-2-4-4-5-3-6-1-7-6-6-3-4--1-1-1--1--3-2--1----1---3-2-1-4-2---4-4-3--2--1--1-----2--3-2---2---1--1
california,428,-414
india,411,5-3-1--8-8-3--4-1-3-3-1-5-5-4-9-7-8-6-12-15-14-11-11-3-2-6-1-3-4-5-6-7-6-7-7-10-4-6-2-3-5-4-1-4-4-4-6-6-8-1-3-6-5-2-2-5-6-9-5-2-4--5-3-6-2-1-4-2-1-3-2--3-4-4----4-1--1-2-5-2-3-2-1-1---2-1--1-1-1-2----1-1-3-1-1-----1-2--3-1-2---2-1-1
america,406,-384
new zealand,383,4-1-1--8-4-2-1-2-1-3-1-2-7-8-4-7-5-13-16-13-15-14-11-33-12-15-9-9-6-5-5-4-8-8-6-6-2-3-2-5-3-2-3-1-3-3--2-7-1-3-3-9-1-2-1---1-2-2-1-2-1-1--1-1-2-1--1----2-2-1-1--1--1-1--1--3-1-2--1-2-2---3--4-2---1--1-4-1--3----1--1
white house,383,-343
britain,366,1--3-3-7-9-3-5-14-5-4-5-1-6-7-6-10-2-7-6-7-7-6-7-8-5-2-1-7-3-6-3-8-1-5-3-6-6-4-2-2-2-4-6-3-3-3-3-4-4-5-7-2-1-1-5-3-5-4-1-5-7-7-1-4-1-2-4-2-2-2-1-1-5--1-3-6--3-4--3-1-----1--1--2-2-3----2-6-2-2--1--1-1-1-1-1---1--1-2-1
pakistan,335,-269
